CITY,STATE
Reims,Grand Est
Paris,Île-de-France
Lille,Hauts-de-France
Bergen,Vestland
Nantes,Pays de la Loire
Helsinki,Uusimaa
Stavern,Vestfold og Telemark
Salzburg,Salzburg
Liverpool,Merseyside
Madrid,Comunidad de Madrid
Lule,Norrbotten
Singapore,Singapore
Lyon,Auvergne-Rhône-Alpes
Torino,Piemonte
Boras,Västra Götaland
Versailles,Île-de-France
Kobenhavn,Hovedstaden
London,England
Toulouse,Occitanie
Barcelona,Catalonia
Bruxelles,Brussels
Oulu,Pohjois-Pohjanmaa
Graz,Styria
Makati City,Metro Manila
Marseille,Provence-Alpes-Côte d'Azur
Koln,Nordrhein-Westfalen
Gensve,Genève
Reggio Emilia,Emilia-Romagna
Frankfurt,Hessen
Espoo,Uusimaa
Dublin,Dublin
